,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-13,46.05286407470703,1813.030029296875,,63.77399826049805,47.83250045776367,1813.030029296875,,63.77399826049805,47.959999084472656,1815.300048828125,,63.91600036621094,47.724998474121094,1795.22998046875,,61.849998474121094,47.77000045776367,1803.9300537109375,,63.11600112915039,50055600,4383200,,29349000
2018-07-16,45.9517707824707,1822.489990234375,,62.02000045776367,47.727500915527344,1822.489990234375,,62.02000045776367,48.162498474121094,1841.949951171875,,63.03200149536133,47.60499954223633,1814.449951171875,,61.25,47.880001068115234,1821.949951171875,,62.34199905395508,60172400,5466200,,39093500
2018-07-17,46.08174514770508,1843.9300537109375,,64.53800201416016,47.86249923706055,1843.9300537109375,,64.53800201416016,47.967498779296875,1851.68994140625,,64.947998046875,47.29999923706055,1797.3800048828125,,61.70000076293945,47.4375,1811.56005859375,,61.762001037597656,62138000,5682900,,34981000
2018-07-18,45.82901382446289,1842.9200439453125,,64.7699966430664,47.599998474121094,1842.9200439453125,,64.7699966430664,47.95000076293945,1858.8800048828125,,65.0999984741211,47.48249816894531,1831.27001953125,,63.25,47.94499969482422,1848.0,,65.0,65573600,4861900,,28121000
2018-07-19,46.18524932861328,1812.969970703125,,64.0459976196289,47.970001220703125,1812.969970703125,,64.0459976196289,48.13750076293945,1841.0,,64.70800018310547,47.42250061035156,1811.27001953125,,62.801998138427734,47.42250061035156,1829.4599609375,,63.26599884033203,81147200,4676900,,29576500
2018-07-20,46.07933807373047,1813.699951171875,,62.715999603271484,47.86000061035156,1813.699951171875,,62.715999603271484,48.10749816894531,1834.8399658203125,,64.64800262451172,47.54249954223633,1810.06005859375,,62.34199905395508,47.94499969482422,1825.010009765625,,64.24600219726562,82704800,3884400,,25811000
2018-07-23,46.12025833129883,1802.0,,60.63999938964844,47.90250015258789,1802.0,,60.63999938964844,47.9900016784668,1819.0,,61.099998474121094,47.38999938964844,1769.989990234375,,58.571998596191406,47.66999816894531,1812.2099609375,,60.36800003051758,63957600,3888500,,54964500
2018-07-24,46.454830169677734,1829.239990234375,,59.486000061035156,48.25,1829.239990234375,,59.486000061035156,48.415000915527344,1840.0,,61.54399871826172,48.01250076293945,1809.3800048828125,,58.5099983215332,48.11249923706055,1829.010009765625,,60.88399887084961,74791600,4278700,,47954000
2018-07-25,46.89290237426758,1863.6099853515625,,61.74800109863281,48.70500183105469,1863.6099853515625,,61.74800109863281,48.712501525878906,1863.8399658203125,,61.92399978637695,48.10749816894531,1822.6400146484375,,58.900001525878906,48.26499938964844,1829.300048828125,,59.347999572753906,66839600,3738200,,35377000
2018-07-26,46.74607849121094,1808.0,,61.33000183105469,48.5525016784668,1808.0,,61.33000183105469,48.9900016784668,1844.6800537109375,,62.13999938964844,48.40250015258789,1804.5,,60.72800064086914,48.65250015258789,1839.0,,60.970001220703125,76304000,9924400,,23152500
2018-07-27,45.9686164855957,1817.27001953125,,59.43600082397461,47.744998931884766,1817.27001953125,,59.43600082397461,48.79750061035156,1880.050048828125,,61.53799819946289,47.525001525878906,1806.530029296875,,59.06800079345703,48.747501373291016,1876.050048828125,,61.45000076293945,96096000,9681000,,28516500
2018-07-30,45.7110710144043,1779.219970703125,,58.034000396728516,47.477500915527344,1779.219970703125,,58.034000396728516,48.04999923706055,1829.5,,59.220001220703125,47.26750183105469,1766.02001953125,,57.22600173950195,47.974998474121094,1827.3299560546875,,59.18000030517578,84118000,6562300,,34070500
2018-07-31,45.80253219604492,1777.43994140625,,59.62799835205078,47.5724983215332,1777.43994140625,,59.62799835205078,48.03499984741211,1801.8299560546875,,59.66400146484375,47.334999084472656,1739.3199462890625,,57.81399917602539,47.57500076293945,1786.489990234375,,58.45000076293945,157492000,5738700,,25384500
2018-08-01,48.500762939453125,1797.1700439453125,,60.167999267578125,50.375,1797.1700439453125,,60.167999267578125,50.439998626708984,1798.43994140625,,60.599998474121094,49.32749938964844,1776.02001953125,,58.599998474121094,49.782501220703125,1784.0,,59.597999572753906,271742800,4153100,,50647000
2018-08-02,49.918487548828125,1834.3299560546875,,69.90799713134766,51.84749984741211,1834.3299560546875,,69.90799713134766,52.095001220703125,1836.56005859375,,69.99800109863281,50.087501525878906,1786.0,,64.63200378417969,50.14500045776367,1788.77001953125,,65.68800354003906,249616000,4354700,,116075000
2018-08-03,50.06290054321289,1823.2900390625,,69.63400268554688,51.997501373291016,1823.2900390625,,69.63400268554688,52.185001373291016,1841.0,,71.0,51.369998931884766,1821.5,,68.50599670410156,51.75749969482422,1837.739990234375,,69.56199645996094,133789600,3460500,,68282500
2018-08-06,50.322853088378906,1847.75,,68.39800262451172,52.26750183105469,1847.75,,68.39800262451172,52.3125,1847.77001953125,,70.99600219726562,51.76750183105469,1818.9200439453125,,68.36399841308594,52.0,1825.81005859375,,69.09200286865234,101701600,3391800,,42821500
2018-08-07,49.85108947753906,1862.47998046875,,75.91400146484375,51.77750015258789,1862.47998046875,,75.91400146484375,52.375,1869.719970703125,,77.49199676513672,51.689998626708984,1846.27001953125,,67.83000183105469,52.33000183105469,1854.530029296875,,68.76799774169922,102349600,3377500,,154379000
